"","HH_ID","Time","Locationch1","Activitych1","Locationch2","Activitych2","Locationch3","Activitych3","Comment","Day"
"268","ETBR00002","midday","school","Learning,Playing,Eating","school","Learning,Playing,Eating",NA,NA,"Since students are at school, it would be best if their teachers are asked rather than asking parents","Friday"
"269","ETBK00001","midday","school","playing","school","learning","school","learning",NA,"Friday"
"270","ETMF00003","midday","school","Attending class","school","Attending class","home","Washing household utilities and going to school",NA,"Friday"
"271","ETH001","afternoon",NA,NA,NA,NA,NA,NA,NA,"Friday"
"272","ETMA00001","afternoon","home","Eating and taking rest","home","Eating and washing household utilities, reading",NA,NA,NA,"Friday"
"273","ETMT00002","afternoon","homecompound","Playing with neighboring children","homecompound","Playing with neighboring children","home","Coming back from school",NA,"Friday"
"274","KEMB00014","afternoon","school",NA,"school",NA,NA,NA,NA,"Friday"
"275","KEME00012","afternoon","school",NA,"school",NA,NA,NA,NA,"Friday"
"276","KEMH00011","afternoon","school",NA,"school",NA,NA,NA,NA,"Friday"
"277","KEMB00051","afternoon","school",NA,"school",NA,NA,NA,NA,"Friday"
"278","KECM00029","afternoon","school",NA,"school",NA,NA,NA,NA,"Friday"
"279","KECP00040","afternoon","school",NA,"school",NA,NA,NA,NA,"Friday"
"280","KECC00021","afternoon","school",NA,"school",NA,NA,NA,NA,"Friday"
"281","KECO00028","afternoon","school",NA,"school",NA,NA,NA,NA,"Friday"
"282","KECL00015","afternoon","school",NA,"school",NA,NA,NA,NA,"Friday"
"283","ETBR00002","afternoon","school","Learning,Playing","school","Learning,Playing",NA,NA,NA,"Friday"
"284","ETBK00001","afternoon","school","learning","school","learning","school","learning",NA,"Friday"
"285","ETMF00003","afternoon","home","Eating and playing","home","Eating and playing","school","Attending class",NA,"Friday"
"286","ETH001","evening",NA,NA,NA,NA,NA,NA,NA,"Friday"
"287","ETMA00001","evening","home","Eating, playing with older sister, sleeping together","home","Eating, playing with younger sister, sleeping together",NA,NA,NA,"Friday"
"288","ETMT00002","evening","home","Playing with sisters","home","Playing and working","home","Eating, and doing",NA,"Friday"
"289","KEMB00014","evening","home","cutting napier grass with grandma","home","peeling potatoes.washing utensils.frying vegetables",NA,NA,NA,"Friday"
"290","KEME00012","evening","home","collecting milk and watchin cartoons","home","collecting milk and watchin cartoons",NA,NA,NA,"Friday"
"291","KEMH00011","evening","home","fetching firewood","home","fetching firewood",NA,NA,NA,"Friday"
"292","KEMB00051","evening","home","looking after small kids","home","looking after small kids",NA,NA,NA,"Friday"
"293","KECM00029","evening","home","playing and collecting milk","home","playing and collecting milk",NA,NA,NA,"Friday"
"294","KECP00040","evening","home","collectin milk","home","collecting milk",NA,NA,NA,"Friday"
"295","KECC00021","evening","home","fetching firewood","home","fetching firewood",NA,NA,NA,"Friday"
"296","KECO00028","evening","home","cleaning dishes and bringing goats to the shed","home","cleaning dishes and bringing goats to the shed",NA,NA,NA,"Friday"
"297","KECL00015","evening","home","collecting milk","home","herding","home","cleaning utensils and washing school uniform",NA,"Friday"
"298","ETBR00002","evening","home","Eating snack, doing assignment","home","Eating snack, doing assignment",NA,NA,NA,"Friday"
"299","ETBK00001","evening","home","playing","home","Playing and studying","home","Playing and studying",NA,"Friday"
"300","ETMF00003","evening","home","Eating and playing, listening puzzels, tales and poems","home","Eating and playing, narrating puzzels, tales and poems to her younger sister.","home","Eating and playing, narrating puzzels, tales and poems to her younger sister.",NA,"Friday"
"301","ETH001","morning","Attend church service and praying","Sometimes goes to church and sometimes stays at home","Attend church service and praying","Often goes to Church",NA,NA,"The location and the activities of the siblings are similar for Saturday and Sunday","Saturday"
"302","ETMA00001","morning",NA,NA,NA,NA,NA,NA,NA,"Saturday"
"303","ETMT00002","morning","home","Eating and playing","home","Eating and playing","home","Eating, studying, and doing household chores",NA,"Saturday"
"304","KEMB00014","morning","home","washing utensils","home","washing utensils",NA,NA,NA,"Saturday"
"305","KEME00012","morning",NA,NA,NA,NA,NA,NA,NA,"Saturday"
"306","KEMH00011","morning","home","breakfast","home","breakfast",NA,NA,NA,"Saturday"
"307","KEMB00051","morning","home","breakfast","home","breakfast",NA,NA,NA,"Saturday"
"308","KECM00029","morning","home","breakfast","home","breakfast",NA,NA,NA,"Saturday"
"309","KECP00040","morning","home","breakfast and watching tv","home","cleaning utensils",NA,NA,NA,"Saturday"
"310","KECC00021","morning","home","breakfast","home","breakfast",NA,NA,NA,"Saturday"
"311","KECO00028","morning","home","breakfast","home","breakfast",NA,NA,NA,"Saturday"
"312","KECL00015","morning","home","breakfast ,playing and watching","home","breakfast and herding","home","breakfast and cleaning utensils",NA,"Saturday"
"313","ETBR00002","morning","home","Washing, eating, watching film","home","Washing, eating, watching film",NA,NA,NA,"Saturday"
"314","ETBK00001","morning","Home","Cleaning bed room","Home","Bed making","home","bed making",NA,"Saturday"
"315","ETMF00003","morning","Home","Eating and playing","home","Eating and playing","home","Eating playing and washing  household utilities",NA,"Saturday"
